value,selfCitingPaperCount,paperCount,selfCitingDuplicatePaperCount,duplicatePaperCount
0,0,45611,0,5371
1,42723,589782,2335,33787
2,112344,956001,6031,52332
3,105342,816059,5173,42434
4,62764,469934,2865,22791
5,28579,213231,1169,9217
6,12793,93393,456,3769
7,5332,39755,214,1458
8,2604,19942,97,744
9,1376,10548,37,325
10,772,6262,30,219
11,459,3591,12,124
12,282,2319,7,83
13,208,1603,10,79
14,164,1134,2,40
15,93,837,3,30
16,68,540,1,19
17,54,433,1,11
18,40,318,1,16
19,20,248,0,8
20,25,220,3,12
21,15,178,0,9
22,13,147,0,9
23,12,107,2,8
24,11,100,2,3
25,5,76,0,7
26,3,62,0,2
27,7,68,2,9
28,4,61,1,6
29,5,50,1,8
30,3,46,1,4
31,2,24,0,1
32,1,29,0,2
33,2,27,0,2
34,2,25,0,1
35,0,15,0,5
36,1,15,1,1
37,1,18,0,4
38,1,14,0,2
39,2,9,0,0
40,0,8,0,3
41,1,6,0,0
42,2,14,1,7
43,0,11,0,9
44,0,10,0,8
45,2,9,1,6
46,1,3,1,2
47,0,10,0,4
48,0,7,0,6
49,1,5,0,2
50,0,7,0,6
51,0,4,0,3
52,1,6,1,6
53,0,1,0,0
54,0,3,0,2
55,0,7,0,5
56,0,2,0,2
57,0,11,0,9
58,0,2,0,2
59,0,2,0,1
60,0,1,0,0
61,0,4,0,2
64,1,4,0,2
65,0,4,0,4
67,0,1,0,0
68,0,1,0,0
69,0,1,0,0
70,0,1,0,0
71,0,1,0,0
75,0,2,0,2
77,0,2,0,2
79,0,1,0,0
86,0,2,0,2
94,0,2,0,2
95,0,1,0,0
101,0,1,0,0
102,0,1,0,0
119,0,1,0,0
