value,selfCitingPaperCount,paperCount,selfCitingDuplicatePaperCount,duplicatePaperCount
0,121669,2491140,4002,104699
1,61682,223063,2510,14186
2,38776,123790,1781,8681
3,26532,79779,1285,6661
4,19363,55276,1050,4774
5,14777,41012,791,3628
6,11493,32453,724,4050
7,9551,25173,620,2537
8,7562,19768,483,1924
9,6358,16830,422,1729
10,5514,14167,371,1480
11,4620,12082,335,1306
12,4202,10827,295,1199
13,3373,9049,261,1030
14,2985,8012,238,948
15,2632,6928,188,742
16,2349,6245,165,663
17,2114,5827,149,799
18,1983,5273,142,573
19,1784,4682,134,533
20,1568,4263,128,501
21,1405,3922,112,430
22,1283,3508,99,381
23,1205,3388,93,363
24,1131,3152,107,428
25,1083,2878,81,323
26,1018,2824,87,354
27,856,2531,86,335
28,805,2307,69,258
29,766,2283,65,284
30,698,2101,68,363
31,665,1967,51,225
32,571,1770,58,212
33,570,1662,43,174
34,559,1583,59,192
35,531,1483,43,142
36,422,1323,43,158
37,432,1282,32,143
38,390,1194,42,188
39,365,1150,39,152
40,380,1102,33,134
41,370,1240,41,333
42,325,946,33,106
43,321,987,18,137
44,299,913,29,109
45,277,909,28,103
46,294,809,36,111
47,245,788,23,122
48,231,754,26,112
49,213,699,19,83
50,213,702,21,76
51,184,669,16,83
52,206,647,11,61
53,194,559,21,66
54,180,552,18,65
55,177,523,15,57
56,162,548,16,61
57,161,506,17,60
58,149,504,13,71
59,140,440,11,42
60,146,477,17,58
61,149,495,14,84
62,129,426,8,44
63,131,457,20,77
64,109,352,8,42
65,118,413,15,66
66,128,376,23,57
67,115,375,8,52
68,105,370,11,46
69,95,302,16,55
70,101,305,8,40
71,96,353,10,67
72,85,343,5,76
73,97,309,10,46
74,89,311,9,49
75,86,269,6,37
76,77,285,3,32
77,77,271,8,38
78,85,262,8,39
79,74,261,9,33
80,86,262,8,32
81,71,218,11,33
82,75,263,7,33
83,63,233,5,26
84,55,213,2,21
85,58,206,4,32
86,68,218,4,21
87,66,194,5,25
88,59,194,7,22
89,59,188,3,18
90,53,170,2,11
91,46,181,4,27
92,60,172,5,23
93,51,160,7,21
94,55,177,8,38
95,46,171,2,14
96,66,184,6,24
97,53,149,8,23
98,48,150,6,23
99,49,161,3,14
100,42,151,2,22
101,44,161,9,37
102,36,127,5,12
103,43,123,5,16
104,33,108,3,10
105,30,126,3,17
106,38,125,2,20
107,25,112,1,4
108,38,112,4,17
109,36,135,6,23
110,33,121,7,20
111,25,107,1,8
112,38,131,3,20
113,27,105,1,18
114,34,101,5,14
115,31,104,4,17
116,23,95,5,24
117,26,101,4,22
118,24,84,1,6
119,25,88,4,17
120,16,80,0,12
121,31,93,4,14
122,21,88,7,23
123,28,105,4,22
124,30,91,3,18
125,28,94,5,16
126,29,95,2,19
127,27,74,2,4
128,26,90,0,12
129,27,95,3,20
130,18,66,2,13
131,17,72,3,13
132,14,58,2,10
133,22,76,7,21
134,20,74,4,13
135,15,56,0,9
136,18,85,3,16
137,23,71,3,18
138,23,68,4,20
139,19,74,3,19
140,18,69,1,10
141,28,82,8,21
142,12,49,1,9
143,10,54,1,12
144,18,59,3,14
145,5,45,0,6
146,16,58,3,15
147,13,59,2,11
148,12,59,2,6
149,12,51,1,4
150,13,44,1,2
151,16,61,1,8
152,14,51,3,8
153,18,48,3,8
154,12,51,1,10
155,13,40,1,6
156,7,44,2,9
157,14,52,1,10
158,15,50,4,19
159,6,40,0,6
160,9,39,2,15
161,8,28,1,4
162,14,52,3,18
163,11,52,3,15
164,12,36,1,4
165,9,40,0,5
166,12,46,1,9
167,8,37,0,2
168,8,30,2,6
169,7,30,2,6
170,12,47,5,14
171,10,25,1,2
172,11,31,0,3
173,8,26,0,2
174,12,36,1,8
175,12,36,1,8
176,16,41,3,13
177,13,34,1,6
178,10,27,1,5
179,8,32,3,10
180,6,21,0,0
181,10,30,1,2
182,11,37,3,11
