value,selfCitingPaperCount,paperCount,selfCitingDuplicatePaperCount,duplicatePaperCount
0,0,1410383,0,93772
1,7179,1138562,157,49608
2,17300,88233,392,2918
3,21371,63021,558,1534
4,22702,58102,558,1301
5,23580,51724,690,1363
6,23375,47808,719,1410
7,22667,43175,731,1263
8,21769,39452,738,1250
9,20565,35424,768,1224
10,19276,32214,806,1235
11,17613,28581,772,1125
12,16226,25286,773,1101
13,14812,22698,784,1066
14,13193,19992,668,949
15,11956,17777,692,917
16,10548,15471,629,853
17,9550,13815,539,720
18,8398,12187,550,727
19,7480,10751,487,633
20,6717,9533,483,614
21,5920,8496,420,537
22,5215,7429,380,488
23,4752,6717,354,458
24,4264,5975,338,434
25,3694,5291,297,378
26,3371,4832,304,385
27,2991,4240,284,363
28,2632,3879,261,328
29,2305,3400,222,296
30,2220,3219,250,310
31,1925,2839,219,270
32,1709,2531,181,221
33,1556,2333,175,207
34,1429,2156,145,198
35,1240,1898,145,176
36,1153,1783,125,163
37,1102,1682,140,166
38,968,1526,110,142
39,824,1328,101,120
40,756,1235,89,115
41,698,1080,90,113
42,635,1010,75,96
43,569,910,79,93
44,565,900,76,90
45,470,735,66,79
46,466,734,67,85
47,343,598,47,55
48,355,631,64,79
49,344,577,44,56
50,330,575,50,60
51,311,488,47,57
52,281,455,47,58
53,264,411,46,49
54,254,409,44,52
55,198,347,36,44
56,189,330,38,43
57,191,317,38,43
58,195,312,33,38
59,171,273,31,35
60,158,259,22,27
61,155,250,21,25
62,140,240,13,18
63,133,219,24,29
64,120,193,20,23
65,110,176,18,21
66,103,168,17,19
67,113,179,20,24
68,72,142,10,14
69,79,141,8,10
70,84,132,16,19
71,75,118,10,10
72,80,126,7,8
73,62,102,11,11
74,63,113,9,11
75,52,94,9,10
76,62,101,7,10
77,49,79,8,8
78,54,86,3,3
79,44,72,10,12
80,45,72,5,6
81,46,83,7,9
82,35,68,3,4
83,39,59,4,4
84,33,57,8,8
85,26,55,3,3
86,37,65,9,9
87,23,40,7,8
88,29,46,3,3
89,23,42,5,6
90,28,49,5,6
91,27,44,5,6
92,25,41,5,6
93,21,36,2,4
94,19,24,2,2
95,30,39,2,2
96,19,35,1,1
97,18,31,0,0
98,18,25,5,5
99,20,30,1,2
100,20,35,1,1
101,21,37,3,3
102,20,30,1,1
103,18,29,3,3
104,26,43,2,3
105,9,19,0,0
106,13,26,0,1
107,15,23,3,4
108,13,21,0,0
109,18,22,2,2
110,5,11,0,1
111,6,11,2,2
112,8,12,1,1
113,12,20,1,2
114,12,17,0,1
115,12,15,0,0
116,6,11,2,2
117,10,15,0,0
118,7,15,1,1
119,9,13,0,0
120,9,13,1,2
121,10,13,1,2
122,7,12,1,1
123,11,18,1,3
124,7,12,1,1
125,9,15,0,0
126,4,5,0,0
127,6,7,1,1
128,2,3,0,0
129,9,12,0,1
130,9,12,2,2
131,3,5,0,0
132,9,15,1,1
133,4,6,0,0
134,4,7,0,0
135,3,9,0,0
136,5,5,0,0
137,6,8,0,0
138,7,9,1,1
139,6,6,1,1
140,8,10,1,1
141,4,6,2,3
142,0,3,0,1
143,2,6,1,2
144,3,5,2,2
145,7,8,1,1
146,4,6,0,1
147,6,7,0,0
148,7,10,0,0
149,6,6,1,1
150,4,4,0,0
151,6,6,2,2
152,6,10,0,0
154,4,8,1,1
155,2,2,2,2
156,2,4,0,0
157,3,3,0,0
158,5,7,0,1
159,1,4,0,0
160,5,6,0,0
161,2,4,0,0
162,0,1,0,0
163,4,6,1,1
164,1,1,0,0
165,1,3,0,0
166,3,7,0,0
168,1,2,0,0
169,2,3,1,1
170,2,2,0,0
171,1,1,0,0
172,3,4,2,2
173,1,1,0,0
174,4,4,0,0
175,3,3,0,0
176,2,4,0,0
177,3,3,0,0
178,2,2,0,0
179,1,1,0,0
180,1,3,0,0
181,1,2,0,0
182,3,4,2,2
183,2,3,1,1
184,2,3,0,0
185,0,1,0,0
186,2,2,0,0
187,1,1,0,0
188,0,1,0,0
189,1,1,0,0
190,3,3,1,1
191,1,2,0,1
192,1,2,0,0
194,0,1,0,0
195,1,1,1,1
196,0,1,0,0
197,3,3,0,0
198,1,4,0,0
199,1,3,0,0
200,3,5,1,1
201,5,7,0,1
202,6,8,2,2
203,3,7,0,0
204,1,1,0,0
205,2,2,0,0
206,2,3,0,0
207,5,8,1,1
209,5,5,0,0
210,3,4,0,0
211,1,1,0,0
212,4,5,0,0
214,0,2,0,0
215,2,2,0,0
217,1,2,0,0
218,5,6,1,1
219,1,1,0,0
220,1,1,0,0
221,1,1,0,0
222,2,2,1,1
224,2,2,0,0
225,3,3,1,1
226,0,1,0,0
227,1,1,0,0
228,0,1,0,0
231,1,1,0,0
232,0,1,0,0
235,0,1,0,0
236,0,1,0,0
237,2,2,0,0
238,2,2,0,0
