value,selfCitingPaperCount,paperCount,selfCitingDuplicatePaperCount,duplicatePaperCount
-1,0,6,0,1
0,0,1,0,0
1936,0,12,0,0
1937,0,15,0,1
1938,0,10,0,0
1939,0,17,0,0
1940,0,10,0,0
1941,0,13,0,1
1942,0,13,0,0
1943,0,8,0,0
1944,0,5,0,0
1945,0,8,0,0
1946,0,31,0,0
1947,0,10,0,0
1948,0,15,0,1
1949,0,25,0,0
1950,0,21,0,0
1951,0,16,0,0
1952,0,31,0,1
1953,0,111,0,1
1954,0,73,0,2
1955,0,67,0,0
1956,2,145,0,3
1957,3,130,1,5
1958,0,170,0,0
1959,5,338,0,4
1960,9,300,0,5
1961,15,487,0,18
1962,16,765,0,27
1963,22,615,0,26
1964,24,585,0,12
1965,28,730,0,14
1966,34,820,0,25
1967,44,1110,1,30
1968,47,1674,1,38
1969,100,1498,6,48
1970,112,1650,2,28
1971,106,2173,2,73
1972,138,2517,7,98
1973,137,2853,2,92
1974,124,3351,6,108
1975,198,3511,5,122
1976,219,3901,12,120
1977,227,4428,9,115
1978,279,4605,8,123
1979,194,4921,7,161
1980,308,5880,8,153
1981,378,6401,10,195
1982,427,7471,19,368
1983,459,8328,14,340
1984,433,9527,27,396
1985,400,9910,27,418
1986,546,12324,18,513
1987,663,13347,31,562
1988,923,15835,33,722
1989,1013,18372,55,803
1990,1297,21264,61,1035
1991,1545,24436,55,1176
1992,1795,27886,69,1332
1993,2130,33786,89,1602
1994,2479,38505,183,2054
1995,3016,40251,180,2070
1996,3331,43426,207,2409
1997,4310,48021,259,2494
1998,4954,52655,306,2703
1999,6806,59020,305,2796
2000,8170,66951,389,3072
2001,9619,72533,445,3347
2002,12905,81483,573,3958
2003,11615,98566,579,4483
2004,12517,119324,644,5226
2005,22065,139810,954,6362
2006,24155,153799,948,6888
2007,26254,168969,883,7029
2008,26127,182984,1005,8050
2009,34375,198716,1348,8571
2010,33133,204603,1415,9390
2011,32262,223025,1415,12212
2012,32722,233666,1776,14898
2013,26919,243670,1842,17511
2014,20764,249139,1451,17490
2015,3126,245536,656,16120
2016,117,49777,113,3000
